sa4_code_2016, age_grp, sa4_name_2016, pop
"102","55 to 64","Central Coast",46100
"115","55 to 64","Sydney - Baulkham Hills and Hawkesbury",28700
"116","55 to 64","Sydney - Blacktown",36500
"117","55 to 64","Sydney - City and Inner South",35200
"118","55 to 64","Sydney - Eastern Suburbs",31600
"119","55 to 64","Sydney - Inner South West",73600
"120","55 to 64","Sydney - Inner West",34500
"121","55 to 64","Sydney - North Sydney and Hornsby",51600
"122","55 to 64","Sydney - Northern Beaches",32000
"123","55 to 64","Sydney - Outer South West",33700
"124","55 to 64","Sydney - Outer West and Blue Mountains",37800
"125","55 to 64","Sydney - Parramatta",44500
"126","55 to 64","Sydney - Ryde",22800
"127","55 to 64","Sydney - South West",46400
"128","55 to 64","Sydney - Sutherland",27500
"101","55 to 64","Capital Region",31100
"103","55 to 64","Central West",32700
"104","55 to 64","Coffs Harbour - Grafton",18700
"105","55 to 64","Far West and Orana",14200
"106","55 to 64","Hunter Valley exc Newcastle",34600
"107","55 to 64","Illawarra",42100
"108","55 to 64","Mid North Coast",36000
"109","55 to 64","Murray",15400
"110","55 to 64","New England and North West",26400
"111","55 to 64","Newcastle and Lake Macquarie",46900
"112","55 to 64","Richmond - Tweed",29600
"113","55 to 64","Riverina",22400
"114","55 to 64","Southern Highlands and Shoalhaven",22700
"206","55 to 64","Melbourne - Inner",67400
"207","55 to 64","Melbourne - Inner East",55100
"208","55 to 64","Melbourne - Inner South",53300
"209","55 to 64","Melbourne - North East",55100
"210","55 to 64","Melbourne - North West",48300
"211","55 to 64","Melbourne - Outer East",60700
"212","55 to 64","Melbourne - South East",87400
"213","55 to 64","Melbourne - West",76600
"214","55 to 64","Mornington Peninsula",39900
"201","55 to 64","Ballarat",21800
"202","55 to 64","Bendigo",22200
"203","55 to 64","Geelong",45300
"204","55 to 64","Hume",26700
"205","55 to 64","Latrobe - Gippsland",36100
"215","55 to 64","North West",19200
"216","55 to 64","Shepparton",14100
"217","55 to 64","Warrnambool and South West",19300
"301","55 to 64","Brisbane - East",39200
"302","55 to 64","Brisbane - North",26500
"303","55 to 64","Brisbane - South",38100
"304","55 to 64","Brisbane - West",19400
"305","55 to 64","Brisbane Inner City",27100
"310","55 to 64","Ipswich",34800
"311","55 to 64","Logan - Beaudesert",37900
"313","55 to 64","Moreton Bay - North",32900
"314","55 to 64","Moreton Bay - South",23100
"306","55 to 64","Cairns",33900
"307","55 to 64","Darling Downs - Maranoa",16600
"308","55 to 64","Central Queensland",30400
"309","55 to 64","Gold Coast",71200
"312","55 to 64","Mackay - Isaac - Whitsunday",23100
"315","55 to 64","Queensland - Outback",8200
"316","55 to 64","Sunshine Coast",54200
"317","55 to 64","Toowoomba",17700
"318","55 to 64","Townsville",30700
"319","55 to 64","Wide Bay",46800
"401","55 to 64","Adelaide - Central and Hills",36800
"402","55 to 64","Adelaide - North",47300
"403","55 to 64","Adelaide - South",51900
"404","55 to 64","Adelaide - West",30900
"405","55 to 64","Barossa - Yorke - Mid North",16600
"406","55 to 64","South Australia - Outback",12400
"407","55 to 64","South Australia - South East",27700
"502","55 to 64","Mandurah",14700
"503","55 to 64","Perth - Inner",20000
"504","55 to 64","Perth - North East",30700
"505","55 to 64","Perth - North West",69900
"506","55 to 64","Perth - South East",55300
"507","55 to 64","Perth - South West",49800
"501","55 to 64","Bunbury",22700
"509","55 to 64","Western Australia - Wheat Belt",21900
"601","55 to 64","Hobart",30300
"602","55 to 64","Launceston and North East",21000
"603","55 to 64","South East",7200
"604","55 to 64","West and North West",15700
"701","55 to 64","Darwin",15800
"702","55 to 64","Northern Territory - Outback",10100
