sa4_code,# of tweets about food,# of positive tweets,# of negative tweets,# of neutral tweets
101,491,217,120,154
102,44,25,6,13
103,2076,896,515,665
104,299,139,67,93
105,554,217,147,190
106,749,347,192,210
107,1443,710,349,384
108,538,240,152,146
109,246,104,63,79
110,402,193,79,130
111,2077,958,376,743
112,654,307,153,194
113,264,142,56,66
114,581,263,176,142
115,30,14,8,8
116,18,5,2,11
117,324,174,54,96
118,71,39,14,18
119,158,79,30,49
120,57,26,5,26
121,91,48,19,24
122,68,43,10,15
123,56,25,16,15
124,258,132,60,66
125,121,60,26,35
126,17,6,1,10
127,29787,13312,7927,8548
128,42,19,7,16
201,1248,453,432,363
202,1027,470,225,332
203,1950,1026,482,442
204,3048,1365,852,831
205,832,373,171,288
206,604,370,61,173
207,53,25,11,17
208,33797,15360,8628,9809
209,99,47,17,35
210,337,127,66,144
211,176,94,38,44
212,304,171,41,92
213,395,212,89,94
214,54,30,4,20
215,323,129,91,103
216,614,279,181,154
217,557,291,115,151
301,62,30,10,22
302,12769,5858,3303,3608
303,48,23,10,15
304,22,19,0,3
305,176,100,16,60
306,1023,490,224,309
307,102,50,18,34
308,451,216,112,123
309,4068,1901,1071,1096
310,514,162,272,80
311,119,67,22,30
312,445,213,117,115
313,104,48,26,30
314,21,12,5,4
315,132,93,13,26
316,1639,737,506,396
317,239,123,49,67
318,2109,900,615,594
319,806,429,169,208
401,373,147,82,144
402,249,130,50,69
403,7903,3594,1996,2313
404,31,23,3,5
405,435,194,107,134
406,1711,828,402,481
407,351,169,88,94
501,223,116,47,60
502,16,9,4,3
503,68,42,0,26
504,59,36,9,14
505,66,34,5,27
506,9592,4421,2443,2728
507,47,29,8,10
509,442,175,147,120
510,374,212,74,88
511,941,409,288,244
601,1869,995,414,460
602,672,306,173,193
603,119,45,33,41
604,833,346,239,248
701,750,346,230,174
702,792,355,146,291
801,3265,1513,812,940
901,2,1,0,1
