sa4_code,# of tweets about traffic,# of positive tweets,# of negative tweets,# of neutral tweets
101,258,110,70,78
102,28,15,7,6
103,1322,602,350,370
104,159,64,43,52
105,298,107,96,95
106,382,148,112,122
107,720,358,166,196
108,346,148,91,107
109,130,68,28,34
110,248,103,69,76
111,823,355,220,248
112,404,189,96,119
113,168,86,32,50
114,315,129,94,92
115,29,7,6,16
116,17,5,3,9
117,285,136,48,101
118,47,28,9,10
119,121,42,33,46
120,34,11,6,17
121,64,33,10,21
122,60,23,14,23
123,32,11,11,10
124,164,67,43,54
125,63,32,15,16
126,12,4,4,4
127,16974,7247,4421,5306
128,47,23,9,15
201,1016,329,294,393
202,465,216,110,139
203,508,267,128,113
204,1929,812,535,582
205,548,177,134,237
206,433,287,63,83
207,50,35,6,9
208,18973,7755,5486,5732
209,86,29,26,31
210,170,59,51,60
211,100,40,22,38
212,155,73,40,42
213,265,127,71,67
214,36,16,9,11
215,254,101,66,87
216,324,160,83,81
217,366,183,75,108
301,41,17,7,17
302,7152,3127,1996,2029
303,55,43,3,9
304,20,5,6,9
305,95,50,16,29
306,538,243,125,170
307,52,24,8,20
308,243,108,73,62
309,2109,965,540,604
310,125,55,40,30
311,44,14,16,14
312,231,86,68,77
313,40,13,14,13
314,8,4,2,2
315,89,46,17,26
316,816,362,258,196
317,135,62,44,29
318,1212,499,339,374
319,470,236,98,136
401,205,102,43,60
402,104,48,16,40
403,3995,1786,1031,1178
404,20,17,0,3
405,209,70,56,83
406,871,401,225,245
407,210,95,45,70
501,110,48,30,32
502,6,2,1,3
503,35,18,3,14
504,31,13,3,15
505,21,14,3,4
506,4796,2148,1316,1332
507,35,17,11,7
509,299,128,82,89
510,261,126,69,66
511,567,274,150,143
601,985,471,260,254
602,361,167,83,111
603,75,37,11,27
604,497,175,177,145
701,591,211,137,243
702,583,230,133,220
801,2911,1922,453,536
901,3,1,0,2
