sa4_code,# of tweets about sport,# of positive tweets,# of negative tweets,# of neutral tweets
101,265,114,65,86
102,31,16,8,7
103,1148,528,298,322
104,177,61,56,60
105,334,127,110,97
106,323,135,98,90
107,729,375,151,203
108,324,147,98,79
109,122,57,30,35
110,192,84,50,58
111,867,462,197,208
112,382,193,87,102
113,140,76,38,26
114,261,124,66,71
115,17,9,3,5
116,11,8,0,3
117,153,85,22,46
118,79,52,3,24
119,62,35,13,14
120,44,22,5,17
121,60,39,6,15
122,96,37,16,43
123,26,15,7,4
124,118,46,28,44
125,61,29,10,22
126,14,8,1,5
127,16768,7871,4476,4421
128,32,13,7,12
201,475,195,134,146
202,324,154,81,89
203,584,289,155,140
204,1794,886,467,441
205,393,185,90,118
206,357,214,30,113
207,46,27,10,9
208,19789,9354,5234,5201
209,134,61,16,57
210,207,75,45,87
211,99,61,14,24
212,221,137,35,49
213,228,130,49,49
214,44,22,8,14
215,173,85,42,46
216,268,131,81,56
217,350,204,67,79
301,32,23,3,6
302,6693,3143,1870,1680
303,37,27,3,7
304,14,10,1,3
305,106,63,12,31
306,502,242,119,141
307,52,25,12,15
308,253,111,76,66
309,2394,1115,677,602
310,110,50,39,21
311,56,25,12,19
312,330,165,99,66
313,37,20,12,5
314,20,9,1,10
315,48,28,9,11
316,907,416,270,221
317,87,47,22,18
318,1149,533,313,303
319,399,197,118,84
401,173,97,33,43
402,127,62,33,32
403,4555,2180,1026,1349
404,37,20,4,13
405,229,97,70,62
406,1021,498,303,220
407,147,71,39,37
501,130,71,26,33
502,9,5,4,0
503,52,29,6,17
504,35,12,8,15
505,31,13,8,10
506,5191,2354,1433,1404
507,30,17,7,6
509,212,100,73,39
510,220,101,64,55
511,466,215,128,123
601,810,389,215,206
602,327,152,84,91
603,59,23,16,20
604,443,185,141,117
701,411,191,129,91
702,602,201,162,239
801,1626,796,406,424
901,3,1,1,1
